BinarySearch,BubbleSort,Fibonacci,HeapSort,LinearSearch,MergeSort,NQueen24,NQueen27,PrimeNumber,SelectionSort,ShellSort
0.028835301,7.216472675,6.138030426,0.01715497,4.85794309,0.010321082,0.148424277,0.189409819,0.242051802,3.639939488,0.011036888
0.033882741,7.316746255,6.235931588,0.017091157,4.876620445,0.011652018,0.29967558,0.370198753,0.37945381,4.382936127,0.007503539
0.030094265,7.461692387,6.890233929,0.020892964,4.926837614,0.011011232,0.295077521,0.402730643,0.315609014,3.954534477,0.008550736
0.027663572,7.818319765,6.342835884,0.027292209,5.072972347,0.013221051,0.293705743,0.393164076,0.323250038,3.741420472,0.008805843
0.026232462,7.468707588,6.357752676,0.017457175,5.059989998,0.018438169,0.306472322,0.390248226,0.300325072,3.667979156,0.004450062
0.026499932,8.102027163,6.444873427,0.016151537,5.107491216,0.010853756,0.313621689,0.397288169,0.303072012,3.706680008,0.009853349
0.032219037,7.423933203,6.398761149,0.016785757,5.091962352,0.012117649,0.30001369,0.395619273,0.300530499,3.677708829,0.004570242
0.037952337,7.483808905,6.425487895,0.012604852,5.104687244,0.016649532,0.315488122,0.396086186,0.307968,3.703294645,0.008603035
0.025848273,7.418869194,6.425637471,0.021897744,5.259387277,0.011979072,0.366814859,0.394868241,0.305046801,3.684246434,0.01194029
0.029764583,7.414389122,6.384259882,0.015876209,5.5695499,0.015367125,0.308404083,0.389240299,0.301914864,3.711499578,0.009081346
0.027258085,7.426322451,6.389180446,0.012707236,5.661193936,0.010136403,0.315880413,0.395915022,0.320354666,3.690708854,0.011068534
0.034800332,7.427210197,6.401624257,0.022646812,5.809380154,0.014239233,0.301534828,0.400838772,0.34230397,3.723752832,0.004629958
0.03084074,7.381734201,6.451430948,0.025709449,5.717902678,0.009908079,0.309065096,0.390211473,0.358166585,3.696841203,0.008448665
0.025610054,7.357183125,6.598111092,0.019906504,5.771714866,0.010089478,0.318020777,0.394320047,0.362437995,3.699607433,0.009056658
0.034384536,7.374270012,6.667151276,0.018551827,5.513002812,0.010527368,0.308746894,0.399981452,0.355681143,3.717692729,0.008903796
0.033558127,7.462514097,6.549900535,0.015604106,5.234516924,0.017905741,0.299815776,0.392669453,0.360685772,3.726317847,0.008704434
0.02671372,7.459900643,6.632120333,0.01717549,5.008753019,0.013464442,0.296133008,0.399517645,0.371335523,3.757486675,0.008631439
0.025874665,7.532421696,6.687779267,0.014477277,5.014151587,0.01087074,0.323866902,0.397604457,0.362028252,3.721772487,0.00848895
0.036759209,7.459659697,6.606188228,0.029389645,5.018585597,0.014431702,0.316100001,0.394742105,0.36284259,3.850751211,0.004606436
0.031861461,7.52087422,6.54315636,0.017703924,5.02215734,0.016286079,0.303787375,0.378325644,0.357417136,3.990589792,0.008462456
